,jurisdiction,district type,num of districts,max abs difference,mean difference,mean abs difference,standard deviation,abs standard deviation,max blocks per dist,max pop blocks per dist,max pop per dist 2010,mean blocks per dist,mean pop blocks per dist,mean pop per dist 2010,num of blocks,num of pop blocks,pct blocks populated,state,stdev pop per dist 2010,total map pop 2010
15,Lytle,City,5,4.4921875,0.5034365319738333,2.22911098264605,2.6001452204637965,1.430128573336442,34.0,21.0,513.0,24.8,15.2,498.4,124.0,76.0,61.29032258064516,TX,15.9449051423958,2492.0
16,Karnes City ISD,School District,7,12.682926829268293,0.9664814947075878,4.896266759920975,6.1753060581210555,3.8852365702453397,178.0,73.0,627.0,95.28571428571429,50.285714285714285,608.4285714285714,667.0,352.0,52.7736131934033,TX,19.470542899886652,4259.0
17,Bexar Comm Ct,Commissioners Court,4,0.16221067231044628,-0.0005480303813868298,0.08776534582765634,0.10482920367114386,0.05732980334326094,7844.0,5137.0,452937.0,6613.0,4465.25,428693.25,26452.0,17861.0,67.52230455164072,TX,17497.264205798,1714773.0
18,Judson ISD,School District,5,1.262076769083471,-0.8004765109132158,0.8004765109132158,0.3128933254562883,0.3128933254562883,384.0,217.0,23496.0,292.8,197.6,22760.2,1464.0,988.0,67.4863387978142,TX,480.8527425314324,113801.0
19,San Antonio ISD,School District,7,1.251319161766923,0.4006761885894236,0.5721687528389137,0.5928719918374828,0.4297226141159594,169.0,91.0,6633.0,98.14285714285714,64.42857142857143,6381.142857142857,687.0,451.0,65.64774381368268,TX,183.17316441898717,44668.0
20,San Antonio City,City,10,0.49745332414470506,0.04924041664979882,0.18479878636407504,0.22638906729347916,0.13973559668252813,2910.0,2060.0,139300.0,1927.7,1354.4,132656.3,19277.0,13544.0,70.25989521191057,TX,5750.403082393443,1326563.0
21,Floresville ISD,School District,7,2.4212271973466004,-0.728023904401196,1.4198031036430818,1.4078105958579374,0.704349789575403,212.0,104.0,3209.0,125.0,67.71428571428571,3084.0,875.0,474.0,54.17142857142857,TX,63.13025084243347,21588.0
22,Alvin City,City,5,2.2557905337361532,0.2539122858000595,1.0363363373769228,1.1998443265586032,0.6558237969815246,192.0,145.0,4965.0,111.2,82.6,4787.4,556.0,413.0,74.28057553956835,TX,138.79135419758683,23937.0
23,Brewster Comm Ct/Cons/JP,Comm Ct/Cons/JP,3,3.9697542533081283,1.5203484798339038,1.795610422650455,1.8260555483891494,1.5561881557206099,1667.0,525.0,7508.0,1130.0,253.33333333333334,3077.3333333333335,3390.0,760.0,22.418879056047196,TX,3144.7304424315216,9232.0
24,Caldwell Comm Ct/JP,Comm Ct/JP,4,0.7919920800791992,0.012350027583469276,0.38364601245613034,0.46729991511096,0.267090754183917,1368.0,526.0,9729.0,672.5,307.5,9516.5,2690.0,1230.0,45.72490706319702,TX,253.5167647316445,38066.0
25,Hayes ISD,School District,5,0.3787878787878788,-0.1487174469962109,0.1919773929212785,0.17394134797863392,0.12456786176556159,310.0,207.0,13979.0,258.6,171.2,13499.4,1293.0,856.0,66.20262954369683,TX,362.4652259182941,67497.0
